playerID,age,points
troutmi01,31.0,1661.5242
arenano01,31.0,1608.8262
harpebr03,30.0,1579.0641
bettsmo01,30.0,1547.5265
sotoju01,24.0,1511.7858
bogaexa01,30.0,1473.1287
indiajo01,26.0,1466.015
arozara01,27.0,1463.4213
mancitr01,30.0,1453.8407
lindofr01,29.0,1448.8025
walshja01,29.0,1405.9631
alvaryo01,25.0,1404.0737
judgeaa01,30.0,1401.0387
altuvjo01,32.0,1374.1602
garciad02,29.0,1360.1108
alonspe01,28.0,1353.6394
olsonma02,28.0,1330.1768
beninan01,28.0,1307.4581
bellico01,27.0,1295.4082
deverra01,26.0,1284.9088
merriwh01,33.0,1284.8629
acunaro01,25.0,1280.1885
bregmal01,28.0,1280.127
turnetr01,29.0,1260.8706
guerrvl02,23.0,1259.7334
albieoz01,25.0,1252.1393
ohtansh01,28.0,1242.6084
tatisfe02,23.0,1232.6831
yelicch01,31.0,1225.4457
reynobr01,27.0,1199.6235
machama01,30.0,1165.8453
hoskirh01,29.0,1159.3774
chapmma01,29.0,1154.6886
stantmi03,33.0,1137.9261
croncj01,32.0,1136.9768
moncayo01,27.0,1126.9235
chishja01,24.0,1118.269
dalbebo01,27.0,1115.4337
anderti01,29.0,1100.2244
renfrhu01,30.0,1091.6661
seageco01,28.0,1091.1187
smithpa04,26.0,1073.5427
baddoak01,24.0,1071.367
torregl01,26.0,1066.1783
rileyau01,25.0,1059.4098
croneja01,28.0,1034.0542
sanomi01,29.0,1021.3411
bichebo01,24.0,1020.4453
edmanto01,27.0,1013.6644
realmjt01,31.0,1012.76086
rodgebr02,26.0,1009.32367
abreujo02,35.0,1008.8307
hernate01,30.0,1007.849
meadoau01,27.0,1005.58575
verdual01,26.0,986.9603
swansda01,28.0,983.2571
garciav01,31.0,962.8465
canhama01,33.0,957.62555
contrwi01,30.0,936.90454
mountry01,25.0,930.35535
wadela01,28.0,919.2135
stephty01,26.0,915.1851
vaughan01,24.0,913.1566
belljo02,30.0,873.1596
goldspa01,35.0,869.0299
